density,vertex_count,k,dijkstra_median_ms,fwr_median_ms,dijkstra_stddev_ms,fwr_stddev_ms
0.25,25,1,0.0057,0.0421,0.0012,0.0054
0.25,25,1,0.0041,0.0323,0.0008,0.0010
0.25,25,2,0.0069,0.0292,0.0007,0.0014
0.25,25,5,0.0148,0.0249,0.0009,0.0017
0.25,25,7,0.0175,0.0193,0.0022,0.0023
0.25,25,10,0.0219,0.0186,0.0008,0.0007
0.25,25,12,0.0224,0.0192,0.0020,0.0006
0.25,25,15,0.0273,0.0191,0.0033,0.0008
0.25,25,20,0.0360,0.0188,0.0011,0.0007
0.25,25,25,0.0440,0.0192,0.0071,0.0082
0.25,50,1,0.0059,0.1006,0.0005,0.0031
0.25,50,2,0.0112,0.0983,0.0003,0.0019
0.25,50,5,0.0278,0.1010,0.0015,0.0025
0.25,50,10,0.0546,0.1018,0.0013,0.0029
0.25,50,15,0.0834,0.0990,0.0143,0.0025
0.25,50,20,0.1067,0.1007,0.0048,0.0030
0.25,50,25,0.1379,0.1066,0.0057,0.0051
0.25,50,30,0.1612,0.1057,0.0068,0.0058
0.25,50,40,0.2158,0.1072,0.0085,0.0130
0.25,50,50,0.3002,0.1147,0.0497,0.1156
0.25,75,1,0.0109,0.2932,0.0006,0.0159
0.25,75,3,0.0331,0.3065,0.0010,0.0039
0.25,75,7,0.0756,0.3002,0.0036,0.0238
0.25,75,15,0.1505,0.2944,0.0060,0.0132
0.25,75,22,0.2176,0.3147,0.0043,0.1641
0.25,75,30,0.2968,0.2927,0.0043,0.0061
0.25,75,37,0.3798,0.3052,0.1126,0.0351
0.25,75,45,0.4701,0.3052,0.0163,0.0117
0.25,75,60,0.5971,0.3005,0.0612,0.0134
0.25,75,75,0.7962,0.3159,0.2762,0.0289
0.25,100,1,0.0185,0.6364,0.0016,0.1793
0.25,100,5,0.0847,0.6481,0.0044,0.0153
0.25,100,10,0.1653,0.6445,0.0310,0.1894
0.25,100,20,0.3245,0.6447,0.0757,0.0593
0.25,100,30,0.4846,0.6535,0.0947,0.0629
0.25,100,40,0.6356,0.6515,0.0979,0.0576
